28	ПОР	КАВЕР	ПРОВЕРКА
50	ЛЕВ	САНТА	СВЕТЛАНА
77	СЕН	ПОЖАР	ПЕРСОНАЖ
117	ОПРОС	ЖЕЛАНИЕ	РАСПОЛОЖЕНИЕ
125	РИО	ПЕРМЬ	ПРИМОРЬЕ
127	СОЛЬ	ТЕНИ	НОСИТЕЛЬ
141	БОР	ТАНКИ	РАБОТНИК
147	СПОР	ЛЕНА	ПЕРСОНАЛ
155	БОРТ	СТАВ	БРАТСТВО
169	МОРИС	ВАН	СМИРНОВА
196	ЛОС	ТИГРА	ГАСТРОЛИ
225	РИКИ	СТАН	КРИСТИАН
250	КУПЕ	ПАЛЬТО	ПОКУПАТЕЛЬ
252	ЧЕН	ВОДКА	ДЕВЧОНКА
256	ПОТОМКИ	РОЗ	КОМПОЗИТОР
257	КУЛЬТ	РЕГИОН	ТРЕУГОЛЬНИК
262	ПИЛ	СТАКАН	ПЛАСТИНКА
263	СТВОЛ	СЕДАН	НАСЛЕДСТВО
264	НИКА	КАМЕРА	АМЕРИКАНКА
266	СВОД	АТАК	ДОСТАВКА
269	ИЕН	ДЕРЕВО	НЕДОВЕРИЕ
270	РЕНО	СЕМЕНОВ	СОВРЕМЕННОЕ
271	СТРОЕНИЕ	МАРС	РАССМОТРЕНИЕ
275	ФОРТ	ЛАМПА	ПЛАТФОРМА
276	ПОКОЙ	СТАР	ПОСТРОЙКА
277	ЕСЕНИН	ХОРА	СОХРАНЕНИЕ
